tau_SSP3-6.0-inflation adjusted,tau_SSP3-4.5-inflation adjusted,tau_SSP3-3.4-inflation adjusted,CO_2_intensity_SSP3-6.0,CO_2_intensity_SSP3-4.5,CO_2_intensity_SSP3-3.4
2.374615385,22.12787483,30.77693638,0.39950846,0.39935722,0.39773809
3.026552735,23.19035664,40.49754308,0.39354556,0.39324309,0.39000481
3.857475833,24.25283844,50.21814978,0.38758265,0.38712895,0.38227153
4.916524213,25.31532024,59.93875648,0.38161975,0.38101481,0.37453826
6.266328392,26.37780205,69.65936319,0.37565685,0.37490067,0.36680498
7.986713747,27.44028385,79.37996989,0.36969394,0.36878654,0.35907171
10.17942126,28.50276566,89.10057659,0.36373104,0.3626724,0.35133843
12.97412434,29.56524746,98.82118329,0.35776814,0.35655826,0.34360516
16.5360975,30.62772927,108.54179,0.35180524,0.35044412,0.33587188
21.07599043,31.69021107,118.2623967,0.34584233,0.34432999,0.32813861
26.87489305,34.02180556,123.7953022,0.33988264,0.33566799,0.31482964
26.88750058,36.35340005,129.3282077,0.33392295,0.327006,0.30152068
26.90010811,38.68499455,134.8611131,0.32796326,0.318344,0.28821171
26.91271564,41.01658904,140.3940186,0.32200356,0.30968201,0.27490275
26.92532317,43.34818353,145.9269241,0.31604387,0.30102001,0.26159378
26.93793069,45.67977803,151.4598296,0.31008418,0.29235802,0.24828482
26.95053822,48.01137252,156.9927351,0.30412448,0.28369602,0.23497585
26.96314575,50.34296701,162.5256405,0.29816479,0.27503403,0.22166689
26.97575328,52.6745615,168.058546,0.2922051,0.26637203,0.20835792
26.9883608,55.006156,173.5914515,0.28624541,0.25771004,0.19504896
28.15673502,58.24104197,181.1569691,0.28279258,0.25165068,0.1882625
29.32510923,61.47592794,188.7224867,0.27933975,0.24559133,0.18147604
30.49348345,64.71081391,196.2880043,0.27588692,0.23953198,0.17468958
31.66185766,67.94569987,203.8535219,0.27243409,0.23347263,0.16790312
32.83023187,71.18058584,211.4190395,0.26898126,0.22741328,0.16111666
33.99860609,74.41547181,218.9845571,0.26552844,0.22135392,0.1543302
35.1669803,77.65035778,226.5500747,0.26207561,0.21529457,0.14754374
36.33535452,80.88524375,234.1155923,0.25862278,0.20923522,0.14075728
37.50372873,84.12012972,241.6811099,0.25516995,0.20317587,0.13397082
38.67210294,87.35501569,249.2466274,0.25171712,0.19711652,0.12718436
38.67210294,94.98144713,257.8949856,0.24985396,0.18990504,0.12250135
38.67210294,102.6078786,266.5433437,0.24799081,0.18269357,0.11781834
38.67210294,110.23431,275.1917018,0.24612765,0.17548209,0.11313532
38.67210294,117.8607414,283.8400599,0.24426449,0.16827061,0.10845231
38.67210294,125.4871729,292.4884181,0.24240134,0.16105914,0.1037693
38.67210294,133.1136043,301.1367762,0.24053818,0.15384766,0.09908629
38.67210294,140.7400357,309.7851343,0.23867502,0.14663619,0.09440328
38.67210294,148.3664672,318.4334924,0.23681187,0.13942471,0.08972027
38.67210294,155.9928986,327.0818505,0.23494871,0.13221323,0.08503725
38.67210294,163.61933,335.7302087,0.23308555,0.12500176,0.08035424
40.35815685,168.9212147,357.5572614,0.22929882,0.12116015,0.07657533
42.04421076,174.2230994,379.3843141,0.22551209,0.11731854,0.07279641
43.73026467,179.5249842,401.2113669,0.22172536,0.11347693,0.06901749
45.41631858,184.8268689,423.0384196,0.21793863,0.10963532,0.06523857
47.10237248,190.1287536,444.8654723,0.2141519,0.10579371,0.06145966
48.78842639,195.4306383,466.6925251,0.21036517,0.10195211,0.05768074
50.4744803,200.732523,488.5195778,0.20657844,0.0981105,0.05390182
52.16053421,206.0344077,510.3466305,0.20279171,0.09426889,0.05012291
53.84658811,211.3362924,532.1736832,0.19900498,0.09042728,0.04634399
55.53264202,216.6381771,554.000736,0.19521825,0.08658567,0.04256507
57.75588212,223.7736319,583.4013416,0.19152843,0.08457123,0.04001243
59.97912222,230.9090868,612.8019472,0.18783861,0.08255679,0.03745979
62.20236231,238.0445416,642.2025528,0.1841488,0.08054236,0.03490716
64.42560241,245.1799964,671.6031584,0.18045898,0.07852792,0.03235452
66.64884251,252.3154512,701.003764,0.17676916,0.07651348,0.02980188
68.87208261,259.450906,730.4043695,0.17307934,0.07449904,0.02724924
71.0953227,266.5863608,759.8049751,0.16938952,0.0724846,0.0246966
73.3185628,273.7218156,789.2055807,0.1656997,0.07047017,0.02214396
75.5418029,280.8572704,818.6061863,0.16200988,0.06845573,0.01959132
77.765043,287.9927252,848.0067919,0.15832006,0.06644129,0.01703868
79.28645504,299.4531707,882.7026809,0.15553561,0.06441598,0.0151583
80.80786708,310.9136162,917.3985698,0.15275115,0.06239067,0.01327792
82.32927912,322.3740618,952.0944588,0.14996669,0.06036536,0.01139754
83.85069117,333.8345073,986.7903477,0.14718223,0.05834004,0.00951716
85.37210321,345.2949528,1021.486237,0.14439777,0.05631473,0.00763678
86.89351525,356.7553983,1056.182126,0.14161331,0.05428942,0.0057564
88.41492729,368.2158438,1090.878015,0.13882885,0.05226411,0.00387602
89.93633933,379.6762893,1125.573903,0.13604439,0.0502388,0.00199564
91.45775138,391.1367348,1160.269792,0.13325993,0.04821349,0.00011526
92.97916342,402.5971803,1194.965681,0.13047547,0.04618818,-0.00176512
94.87014376,422.7933709,1233.425391,0.12836959,0.04406613,-0.00296959
96.7611241,442.9895615,1271.8851,0.1262637,0.04194408,-0.00417406
98.65210444,463.1857521,1310.34481,0.12415782,0.03982203,-0.00537854
100.5430848,483.3819426,1348.804519,0.12205194,0.03769998,-0.00658301
102.4340651,503.5781332,1387.264161,0.11994606,0.03557793,-0.00778748
104.3250455,523.7743238,1425.723884,0.11784018,0.03345588,-0.00899196
106.2160258,543.9705144,1464.183606,0.1157343,0.03133383,-0.01019643
108.1070061,564.1667049,1502.643329,0.11362841,0.02921178,-0.0114009
109.9979865,584.3628955,1541.103052,0.11152253,0.02708974,-0.01260538
111.8889668,604.5590861,1579.562775,0.10941665,0.02496769,-0.01380985
